property_name,property_address,Estate_name
"3bdrm Bungalow in Ndumberi Town, Kiambu / Kiambu  for rent",Ndumberi 3 bedroom own company,Ndumberi town
1bdrm Apartment in Nairobi West for Rent,Kisauni Road,Newly-Built
5bdrm Mansion in Shanzu for rent,SHANZU,"10
     
      sqm"
Furnished 3bdrm Apartment in Kileleshwa for rent,Kileleshwa,"1050
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,"125
     
      sqm"
2bdrm Apartment in Langata Delverence for rent,Delverence church langata,Langata delverence
1bdrm Apartment in Mwalimu Kisaju for rent,Mwalimu Kisaju Housing Park,Mwalimu Kisaju Housing Park
"Furnished 1bdrm Apartment in Sulisuli Road, Malindi for Rent",malindi sulisuli road,sulisuli road
2bdrm Apartment in Nairobi West for Rent,Nairobi west,Nairobi west
"3bdrm Bungalow in Ory, Kitengela for rent",Kitengela,Ory
"2bdrm Apartment in Mirema Drive, Githurai for Rent","Mirema Drive,  Off Kamiti Rd",Mirema Drive
2bdrm Apartment in Kileleshwa for rent,Kileleshwa,"90
     
      sqm"
4bdrm House in Runda for rent,Ruaka Road,"360
     
      sqm"
"1bdrm Bedsitter in Kamenu, Makongeni / Thika for rent",Kamenu,Kamenu
"3bdrm Bungalow in Mihango, Githunguri Area for rent",A  3 bedroom bungalow,Mihango
3bdrm Apartment in Kilimani for rent,Near Yaya Center,"150
     
      sqm"
5bdrm Mansion in Runda for rent,Runda Estate Spacious 5 Bedroom House for Renting,Runda
"2bdrm Apartment in Ndumberi, Kiambu CBD for rent",Ndumberi,Ndumberi
"1bdrm Apartment in Deliverance, Langata for rent",Carnivore,Deliverance
"5bdrm Townhouse / Terrace in Kirarapoin Drive, Kerarapon for rent",Kirarapoin,Kirarapoin drive
2bdrm Bungalow in Karen for rent,Karen,Karen
"2bdrm Apartment in Riat Airport, Kogony for rent",off busia rd,Riat Airport
4bdrm Bungalow in Karen for rent,Karen,Karen
3bdrm Apartment in Langata for rent,langata,Renovated
"3bdrm Bungalow in Matangi, Ruiru for rent",Kimbo,Matangi
1bdrm Apartment in Langata for rent,Langata,Langata
3bdrm Apartment in Kileleshwa for Rent,"Laikipia Road, Aborretum","112
     
      sqm"
3bdrm Townhouse / Terrace in Runda for rent,Ruaka Road,"230
     
      sqm"
2bdrm Apartment in Westlands for Rent,Brookside Groove,"140
     
      sqm"
3bdrm Apartment in Thindigua for rent,Kiambu road,Thindigua
"Three Bedrooms Own Compound in Nairobi West at 50,000/=",Newly-Built,Standard
Furnished 2bdrm Apartment in Kileleshwa for rent,Kileleshwa,"130
     
      sqm"
"Mini Flat in Thome (Safari Park), Roysambu for rent",Safari park hotel,Thome (Safari Park)
"4bdrm Apartment in 4Br All Ensuit, Lavington for rent",othaya rd,4br all ensuit
"Furnished 3bdrm Apartment in Silver Habor, Hurlingham for rent",Kindaruma Rd,"Silver Habor Apartments, Kilimani"
3bdrm Apartment in Kileleshwa for rent,Kileleshwa,"130
     
      sqm"
"Furnished 3bdrm Apartment in Bric, Lavington for Rent",Valley Arcade,Bric
"3bdrm Bungalow in Syokimau Estate, Katani for rent",55410,Syokimau Estate
3bdrm Apartment in Malindi for rent,sea breeze,"1000
     
      sqm"
"Mini Flat in Syokimau, Gateway Mall Area for rent",Syokimau,Syokimau
"Furnished 1bdrm Apartment in Mtambo, Bamburi for rent",Mwembeni street,Mtambo
in Westlands for rent,Not available,Not available
1bdrm Block of Flats in Zimmerman for Rent,23 zimmerman,Newly-Built
"4bdrm Villa in Miotoni, Karen C for Rent",miotoni estate,miotoni
"2bdrm Apartment in Mwimuto, Kabete for Rent",Getathuru Road,Mwimuto
3bdrm Maisonette in Kitengela for rent,Kitengela Yukos,"135
     
      sqm"
Furnished Mini Flat in Nairobi Central for rent,westlands,"49
     
      sqm"
Own Compound 3 Bedroom All En-Suite to Let in Nyali,Nyali,Unfurnished
1bdrm Block of Flats in Nairobi West for rent,Gadhi avenue.,Nairobi west
"1bdrm Bedsitter in Kirigiti, Kiambu / Kiambu  for rent",Kirigiti Bedsitters,Kirigiti
"1bdrm Apartment in Muchatha, Ruaka for rent",Muchatha,Muchatha
1bdrm House in 1B/R At Lower Kabete for rent,Lower kabete wangige,1b/r at lower kabete wangige kiahuria
3bdrm Apartment in Ruaka for rent,Ruaka,"125
     
      sqm"
3bdrm Bungalow in Kitengela for rent,Kitengela,"135
     
      sqm"
Parklands 3 Bedroom Old Type For Rent,Unfurnished,Not available
"4bdrm Townhouse / Terrace in Redhill, Limuru for rent",Redhill Road,Redhill
"Furnished 1bdrm Apartment in Maziwa, Lavington for rent",Lavington Nairobi,Maziwa
"Furnished 3bdrm Apartment in Bell Crest Garden, Kileleshwa for rent",Gitunguri Road,Bell Crest Garden Apartment
"2bdrm Bungalow in Baraka, Kisaju for rent",Hawa,Baraka
4bdrm Maisonette in Old Runda for rent,Fairy used 4 bedroom maisonette old runda,Old runda
5bdrm House in Karen for rent,Karen,"1000
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,kilimani,kilimani
2bdrm Apartment in South C for Rent,Madina area,Newly-Built
"2bdrm Apartment in Kirigiti, Kiambu / Kiambu  for rent",Kirigiti,Kirigiti
6bdrm Maisonette in Kitengela for Rent,kitengela Milimani,Fairly Used
"5bdrm Villa in Lavington, Maziwa for rent",Maziwa Lavington Green,Lavington
Studio Apartment in Nairobi West for rent,Nairobi west,Renovated
1bdrm Apartment in Bamburi for Rent,cute one bedroom house to let,"200
     
      sqm"
2bdrm Apartment in Dam Estate for rent,Deliverance,"80
     
      sqm"
5bdrm Maisonette in Ridgeways for rent,5 bedroom maisonette to rent,Ridgeways
1bdrm Bedsitter in South B for rent,Popo road,South b
"Furnished 1bdrm Apartment in Dimash Apartment, Mtambo for rent",Aryna court,Dimash apartment
2bdrm Apartment in South C for Rent,Newly renovated two bedrooms master ensuite Dafam area@35000,Renovated
3bdrm Apartment in Beach Road Nyali for rent,Beach road Nyali,Beach road Nyali
"4bdrm Maisonette in Gataka/ 1Bdr Guest, Karen for rent",Karen gataka junction,Gataka/ 1bdr guest wing
3bdrm Bungalow in Ruiru Kwa Kairu for rent,Ruiru Kwa kairu,Ruiru Kwa kairu
Buruburu One Bedroom To Let. Very Spacious,Nairobi,Fairly Used
"2bdrm Apartment in Shopping Center, South B for rent",South b,Shopping center
Furnished Mini Flat in Kilimani for rent,Kilimani,"25
     
      sqm"
Three Bedrooms Master Ensuite Langata,Delivarance,Renovated
2bdrm Apartment in Ongata Rongai for rent,Tumaini,"83
     
      sqm"
"Furnished 2bdrm Apartment in Tatu City, Kiambu / Kiambu  for rent",Tatu city,Tatu city
1 Bedroom Available on Gitanga Road,3,Unfurnished
3bdrm Bungalow in Milimani for Rent,NAKURU,Milimani
"1bdrm Apartment in Balozi, South B for rent",South B,Balozi
2bdrm Apartment in Nairobi West for rent,Nairobi west,"70
     
      sqm"
2bdrm Apartment in Langata for rent,Deliverance,"80
     
      sqm"
6bdrm House in Hardy for Rent,"Hardy, Karen","2023
     
      sqm"
4bdrm Apartment in South B for rent,south B,south B
"6bdrm Mansion in Naka Estate, Nakuru Town East for rent",Naka estate,Naka estate
"3bdrm Apartment in Gadhi Avenue, Nairobi West for Rent",Nairobi West,Gadhi Avenue
4bdrm Mansion in Nyali for rent,Commercial property to rent at Nyali Mombasa,Nyali
Furnished 1bdrm Apartment in Parklands/Highridge for rent,Forest road,Fairly Used
Furnished 1bdrm Apartment in Racecourse Gardens for rent,"Ngando, Ngong-Karen road",Racecourse Gardens
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,"800
     
      sqm"
"1bdrm Bedsitter in Konampya, Likoni for rent",Cafe,Konampya
"1bdrm Bedsitter in Palestina, Bamburi for rent",Palestina,Palestina
3bdrm Apartment in Nyali for Rent,links road,nyali
1bdrm Apartment in Kileleshwa for rent,Kileleshwa Nairobi,Kileleshwa
3bdrm Apartment in Karen Along for Rent,3 bedroom Apartments in Karen,Karen Along Dagoretti Road
4bdrm Apartment in Lavington for rent,Off Gitanga rd,"3000
     
      sqm"
3bdrm Apartment in Kilimani for rent,Kilimani off marcus garvey,Kilimani
3bdrm Apartment in Kilimani for rent,RIARA ROAD,"150
     
      sqm"
1bdrm Apartment in Ngumba Estate for Rent,behind kenya breweries,Ngumba estate
Furnished 3bdrm Apartment in Ruaka for rent,RUAKA,"180
     
      sqm"
Furnished 3bdrm Apartment in Westlands for rent,Brookside drive,"150
     
      sqm"
Bedsitter South B,Sanasana,Sanasana
2bdrm Apartment in Westlands for rent,Ring Road,Westlands
2bdrm Apartment in Uthiru for rent,Naivasha road,"70
     
      sqm"
2bdrm Apartment in Langata for rent,Deliverance,"80
     
      sqm"
"Furnished 4bdrm Maisonette in Chuna Estate, Kitengela for rent",Chuna,Chuna Estate
1bdrm Apartment in South B for rent,Balozi,"2500
     
      sqm"
"2bdrm Block of Flats in Foothill Apartment, Kibiku for rent",Behind Ngere road,Foothill apartment
"4bdrm Townhouse / Terrace in Chalbi Drive, Lavington for rent",Lavington Nairobi,CHALBI DRIVE
1bdrm Apartment in Makupa Primary for rent,Makupa Primary,Makupa Primary
"4bdrm Maisonette in Ndege Rd On 1 Acre, Karen for rent",Ndege road,Ndege Rd on 1 acre
"5bdrm House in Kiambu Rd, Ridgeways for rent",Ridgeways,Kiambu rd
1bdrm Apartment in South B for Rent,Sanasana,"5000
     
      sqm"
2bdrm Apartment in Matasia for Rent,Matasia,"200
     
      sqm"
"4bdrm Maisonette in Matangi, Ruiru for rent",Luxurious 4 bedroom maisonette,Matangi
"2bdrm Block of Flats in Sana Sana, South B for rent",Plains view.,Sana sana
"1bdrm House in Consolata Primary, Likoni for rent",Consolata primary area,Consolata primary area
4bdrm Maisonette in Kilimani for rent,Kilimani,Kilimani
"4bdrm Townhouse / Terrace in Gatongora, Ruiru for rent",Ruiru Eastern Bypass,Gatongora
"1bdrm Apartment in Kigwa Springs, Ridgeways for rent",Thindigua Windsor Heights rd,Kigwa Springs apartments
Furnished 2bdrm Apartment in Westlands for rent,Brookside,Westlands
3bdrm Duplex in Kabete for rent,Lower kabete,"146
     
      sqm"
"1bdrm Block of Flats in Lower Kabete, Westlands for rent",lower Kabete,lower kabete
